# BAND-MAID FanClub snapshot date: 2026-04-17
Title	Category	URL	Date
"SCOOOOOP" Self-Liner Notes part 4	Self-Liner Notes	https://bandmaid.tokyo/movies/123775	
BAND-MAID NEW YEAR PARTY 2026 part 2	HOLIDAY	https://bandmaid.tokyo/movies/123774	
BAND-MAID NEW YEAR PARTY 2026 part 1	HOLIDAY	https://bandmaid.tokyo/movies/123773	
"SCOOOOOP" Self-Liner Notes part 3	Self-Liner Notes	https://bandmaid.tokyo/movies/123345	
BAND-MAID YEAR END PARTY 2025 part 2	HOLIDAY	https://bandmaid.tokyo/movies/123121	
BAND-MAID YEAR END PARTY 2025 part 1	HOLIDAY	https://bandmaid.tokyo/movies/123120	
"SCOOOOOP" Self-Liner Notes part 2	Self-Liner Notes	https://bandmaid.tokyo/movies/122535	
"SCOOOOOP" Self-Liner Notes part 1	Self-Liner Notes	https://bandmaid.tokyo/movies/122534	
"BAND-MAID TOUR 2025 FINAL" Behind The Scenes	BTS	https://bandmaid.tokyo/movies/122286	
Stationhead Arcive (Dec.5, 2025)	Stationhead	https://bandmaid.tokyo/movies/122030	
"Bestie" Teaser Video from BAND-MAID Billboard Acoustic Tour TOKYO (April 13, 2025)	BTS	https://bandmaid.tokyo/movies/121453	
"Present Perfect" Behind the Scenes	BTS	https://bandmaid.tokyo/movies/121423	
Stationhead Live Stream Archive (Sep. 12, 2025)	Stationhead	https://bandmaid.tokyo/movies/120836	
Stationhead Live Stream Archive (Aug. 29, 2025)	Stationhead	https://bandmaid.tokyo/movies/120835	
Stationhead Live Stream Archive (Aug. 15, 2025)	Stationhead	https://bandmaid.tokyo/movies/120834	
Stationhead Live Stream Archive (Aug. 1, 2025)	Stationhead	https://bandmaid.tokyo/movies/120833	
"SCOOOOOP" 開封の儀 Opening(Unboxing) Ceremony	UNBOXING	https://bandmaid.tokyo/movies/119278	
"What is justice?" Behind the scenes	BTS	https://bandmaid.tokyo/movies/117913	
Behind the New Look (TikTok Recap)	BTS	https://bandmaid.tokyo/movies/113179	
"Ready to Rock" Behind the scenes	BTS	https://bandmaid.tokyo/movies/112005	
Stationhead Live Stream Archive (April 10, 2025)	Stationhead	https://bandmaid.tokyo/movies/111710	
"Zen"Music Video Behind the scenes	BTS	https://bandmaid.tokyo/movies/110474	
BAND-MAID NEW YEAR PARTY 2025  part2	HOLIDAY	https://bandmaid.tokyo/movies/108515	
BAND-MAID NEW YEAR PARTY 2025  part1	HOLIDAY	https://bandmaid.tokyo/movies/108514	
BAND-MAID YEAR END PARTY 2024  part2	HOLIDAY	https://bandmaid.tokyo/movies/107848	
BAND-MAID YEAR END PARTY 2024  part1	HOLIDAY	https://bandmaid.tokyo/movies/107844	
"Forbidden tale" Behind the scenes	BTS	https://bandmaid.tokyo/movies/106199	
"Epic Narratives" Artwork Description アートワーク解説　SAIKI	UNBOXING	https://bandmaid.tokyo/movies/104328	
"Epic Narratives" 開封の儀 Opening(Unboxing) Ceremony	UNBOXING	https://bandmaid.tokyo/movies/104289	
KANAMI & LEGENDARY FUSE	BTS	https://bandmaid.tokyo/movies/104129	
"Protect You" Behind the Scenes	BTS	https://bandmaid.tokyo/movies/102518	
BAND-MAID ACOUSTIC OKYUJI Behind The Scenes MIKU KOBATO & KANAMI	BTS	https://bandmaid.tokyo/movies/97875	
BAND-MAID ACOUSTIC OKYUJI  Behind The Scenes  MISA & KANAMI	BTS	https://bandmaid.tokyo/movies/97868	
MISA's Shout	BTS	https://bandmaid.tokyo/movies/100085	
"Bestie" Behind the Scenes	BTS	https://bandmaid.tokyo/movies/99315	
BAND-MAID ORIGINAL MERCH	MERCH	https://bandmaid.tokyo/movies/99008	
Blu-ray/DVD "BAND-MAID 10TH ANNIV TOUR FINAL" SAIKI解説	UNBOXING	https://bandmaid.tokyo/movies/97874	
Talk about Blu-ray/DVD "BAND-MAID 10TH ANNIV TOUR FINAL" in English  KANAMI, SAIKI	UNBOXING	https://bandmaid.tokyo/movies/97869	
Blu-ray/DVD "BAND-MAID 10TH ANNIV TOUR FINAL" 開封の儀 Opening Ceremony	UNBOXING	https://bandmaid.tokyo/movies/97871	
2024.03.20 part2	BTS	https://bandmaid.tokyo/movies/97503	2024-03-20
2024.03.20 part1	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/97506	2024-03-20
Message in English from KANAMI	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/97504	
Happy New Year!	HOLIDAY	https://bandmaid.tokyo/movies/95194	
"Shambles" Behind the scenes	BTS	https://bandmaid.tokyo/movies/90704	
Holidays in Seattle	GOOFING OFF	https://bandmaid.tokyo/movies/78764	
"influencer" Making Movie	BTS	https://bandmaid.tokyo/movies/78252	
Stuffing a bag by SAIKI	BTS	https://bandmaid.tokyo/movies/76805	
One-on-one talk vol.5 "AKANE×KOBATO"	TALKS	https://bandmaid.tokyo/movies/71957	
"BAND-MAID NIPPON"  Acoustic Session	LIVE	https://bandmaid.tokyo/movies/70076	
"BAND-MAID ONLINE ACOUSTIC"  BEHIND THE SCENES	BTS	https://bandmaid.tokyo/movies/69001	
今月の一曲　Song of the Month SAIKI (Feb., 2022)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/69037	
今月の一曲　Song of the Month MIKU KOBATO (Feb., 2022)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/69004	
今月の一曲　Song of the Month MISA (Feb., 2022)	Song of the Month MISA	https://bandmaid.tokyo/movies/69005	
今月の一曲　Song of the Month AKANE (Feb., 2022)	Song of the Month AKANE	https://bandmaid.tokyo/movies/69002	
