# BAND-MAID setlists snapshot date: 2025-12-05
Date	Venue	City	Country	Tour	URL	Sequence	Song	Set ID
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	1	What is justice?	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	2	Protect You	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	3	SUPER SUNSHINE	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	4	Zen	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	5	Shambles	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	6	Warning!	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	7	you.	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	8	HATE?	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	9	NO GOD	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	10	Brightest Star	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	11	Lock and Load	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	12	Toi et moi	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	13	Dilly-Dally	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	14	Unleash!!!!!	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	15	Sense	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	16	Forbidden tale	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	17	Choose me	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	18	DOMINATION	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	19	Present Perfect	541
2025-11-01	CLUB CITTA'	Kawasaki	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/club-citta-kawasaki-japan-347e9cf.html	20	Ready to Rock	541
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	1	What is justice?	540
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	2	HATE?	540
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	3	HEAVEN'S DRIVE	540
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	4	DOMINATION	540
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	5	Ready to Rock	540
2025-10-26	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-5b4ec36c.html	6	Present Perfect	540
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	1	Ready to Rock	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	2	Warning!	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	3	Rinne	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	4	HEAVEN'S DRIVE	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	5	Dilly-Dally	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	6	Choose me	539
2025-10-25	Makuhari Messe Kokusai Tenjijou Hall 9-10-11	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-10-11-chiba-japan-534ec369.html	7	NO GOD	539
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	1	What is justice?	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	2	Protect You	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	3	SUPER SUNSHINE	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	4	Zen	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	5	Unleash!!!!!	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	6	Warning!	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	7	you.	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	8	HATE?	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	9	NO GOD	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	10	Brightest Star	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	11	Lock and Load	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	12	Toi et moi	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	13	Dilly-Dally	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	14	The one	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	15	SION	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	16	Forbidden tale	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	17	Choose me	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	18	DOMINATION	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	19	Present Perfect	538
2025-10-24	Nanba Hatch	Osaka	JP	BAND-MAID TOUR 2025	https://www.setlist.fm/setlist/bandmaid/2025/nanba-hatch-osaka-japan-1347e9c9.html	20	Ready to Rock	538
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	1	Screaming	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	2	NO GOD	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	3	Choose me	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	4	Protect You	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	5	Unleash!!!!!	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	6	Daydreaming	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	7	HATE?	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	8	What is justice?	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	9	DOMINATION	537
2025-10-18	Azuma Kyuujou	Fukushima	JP		https://www.setlist.fm/setlist/bandmaid/2025/azuma-kyuujou-fukushima-japan-1b4ec94c.html	10	Ready to Rock	537
2025-09-03	Nippon TV Bancho Studio	Chiyoda	JP		https://www.setlist.fm/setlist/bandmaid/2025/nippon-tv-bancho-studio-chiyoda-japan-34ec133.html	1	What is justice?	536
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	1	DICE	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	2	DOMINATION	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	3	Choose me	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	4	Ready to Rock	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	5	HATE?	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	6	Shambles	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	7	What is justice?	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	8	Sense	535
2025-08-23	IMPACT Challenger Hall 1-2-3	Bangkok	TH		https://www.setlist.fm/setlist/bandmaid/2025/impact-challenger-hall-1-2-3-bangkok-thailand-3b477c84.html	9	NO GOD	535
2025-08-16	Makuhari Messe Kokusai Tenjijou Hall 9	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-chiba-japan-5b47cb60.html	1	from now on	534
2025-08-16	Makuhari Messe Kokusai Tenjijou Hall 9	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-chiba-japan-5b47cb60.html	2	Zen	534
2025-08-16	Makuhari Messe Kokusai Tenjijou Hall 9	Chiba	JP		https://www.setlist.fm/setlist/bandmaid/2025/makuhari-messe-kokusai-tenjijou-hall-9-chiba-japan-5b47cb60.html	3	DOMINATION	534
