# BAND-MAID releases snapshot date: 2025-10-16
Name	Work	Type	URL	Description	Media	Bonus Media	Bonus Desc	Publisher	ReleaseDate
MAID IN JAPAN	MAID IN JAPAN	Album	https://bandmaidshop.com/products/band-maid-maid-in-japan-cd	MAID IN JAPAN original release	CD			Gump Records	2014-01-08
Love, Passion, Matador	Love, Passion, Matador (愛と情熱のマタドール)	Single	https://www.cdjapan.co.jp/product/DAKPPRC-10	Love, Passion, Matador single	CD			Gump Records	2014-08-13
New Beginning	New Beginning	Album	https://www.cdjapan.co.jp/product/NEODAI-117318	New Beginning CD+DVD	CD+DVD	DVD	01. Real Existence MV 02. Don’t Let Me Down MV	Gump Records	2015-11-18
Brand New MAID (type A)	Brand New MAID	Album	https://bandmaidshop.com/products/band-maid-brand-new-maid-cd	Brand New MAID CD+DVD	CD+DVD	DVD	01. the non-fiction days MV 02. Order MV 03. alone MV	Crown Stones	2016-05-18
Brand New MAID (type B)	Brand New MAID	Album	https://bandmaidshop.com/products/band-maid-brand-new-maid-cd-1	Brand New MAID CD w/ bonus track	CD		REAL EXISTENCE (live ver.)	Crown Stones	2016-05-18
YOLO	YOLO	Single	https://bandmaidshop.com/products/band-maid-yolo-cd	YOLO CD	CD			Crown Stones	2016-11-16
Just Bring It	Just Bring It	Album	https://bandmaidshop.com/products/band-maid-just-bring-it-regular-edition-cd-album	Just Bring It CD	CD			Crown Stones	2017-01-11
2017.1.9 Live at Akasaka BLITZ (DVD)	2017.1.9 Live at Akasaka BLITZ	Live Video	https://bandmaidprime.tokyo/movies/58102	2017.1.9 Live at Akasaka BLITZ DVD	DVD				2017-07-19
Daydreaming / Choose me	Daydreaming / Choose me	Single	https://bandmaidshop.com/products/bandmaid-daydreaming-choose-me	Daydreaming / Choose me CD	CD	DVD	2017.1.9 Live at Akasaka BLITZ	Crown Stones	2017-07-19
WORLD DOMINATION (type B)	WORLD DOMINATION	Album	https://bandmaidshop.com/products/band-maid-world-domination-cd	WORLD DOMINATION (type B) CD+DCD	CD+DVD	DVD	Live at Shinkiba Studio Coast on 2017.11.23 1. CHOOSE ME 2. DON’T YOU TELL ME 3. モラトリアム [Moratorium] 4. PUZZLE 5. CROSS 6. MATCHLESS GUM 7. AWKWARD 8. DAYDREAMING 9. YOLO 10. ALONE 11. REAL EXISTENCE 12. TAKE ME HIGHER!! 13. PLAY 14. SECRET MY LIPS 15. TH	Crown Stones	2018-02-14
Live at Shinkiba STUDIO COAST (Blu-ray)	Live at Shinkiba STUDIO COAST	Live Video	https://bandmaidprime.tokyo/movies/58426	Live at Shinkiba STUDIO COAST - WORLD DOMINATION 1st press limited edition A (Blu-ray)	Blu-ray			Crown Stones	2018-02-14
Live at Shinkiba STUDIO COAST (DVD)	Live at Shinkiba STUDIO COAST	Live Video	https://bandmaidprime.tokyo/movies/58426	Live at Shinkiba STUDIO COAST - WORLD DOMINATION 1st press limited edition A (DVD)	DVD			Crown Stones	2018-02-14
MAID IN JAPAN (reissue)	MAID IN JAPAN	Album	https://bandmaidshop.com/products/band-maid-maid-in-japan-cd	MAID IN JAPAN Reissue of MAID IN JAPAN All tracks are remastered	CD			Crown Stones	2018-02-14
WORLD DOMINATION (regular edition)	WORLD DOMINATION	Album	https://bandmaidshop.com/products/band-maid-world-domination-cd	WORLD DOMINATION regular edition	CD		Honey (Bonus Track) MUCC cover	Crown Stones	2018-02-14
WORLD DOMINATION (type A)	WORLD DOMINATION	Album	https://bandmaidshop.com/products/band-maid-world-domination-cd	WORLD DOMINATION (type A) CD+Blu-ray	CD+Blu-ray	Blu-ray	Live at Shinkiba Studio Coast on 2017.11.23 1. CHOOSE ME 2. DON’T YOU TELL ME 3. モラトリアム [Moratorium] 4. PUZZLE 5. CROSS 6. MATCHLESS GUM 7. AWKWARD 8. DAYDREAMING 9. YOLO 10. ALONE 11. REAL EXISTENCE 12. TAKE ME HIGHER!! 13. PLAY 14. SECRET MY LIPS 15. TH	Crown Stones	2018-02-14
2018.4.13 Live at ZEPP TOKYO (Blu-ray)	2018.4.13 Live at ZEPP TOKYO	Live Video	https://bandmaidprime.tokyo/movies/59476	2018.4.13 Live at ZEPP TOKYO - start over 1st press limited edition A (Blu-ray	Blu-ray			Crown Stones	2018-07-25
2018.4.13 Live at ZEPP TOKYO (DVD)	2018.4.13 Live at ZEPP TOKYO	Live Video	https://bandmaidprime.tokyo/movies/59476	2018.4.13 Live at ZEPP TOKYO - start over 1st press limited edition B (DVD)	DVD			Crown Stones	2018-07-25
start over	start over	Single	https://bandmaidshop.com/products/start-over-blu-ray-postcard-cd-limited-edition-type-a-2	start over CD	CD		secret MAIKO lips (secret track)	Crown Stones	2018-07-25
start over (type A)	start over	Single	https://bandmaidshop.com/products/start-over-blu-ray-postcard-cd-limited-edition-type-a-2	start over CD+Blu-ray	CD+Blu-ray	Blu-ray	Live at ZEPP Tokyo on 2018.4.13 (26 songs) 1. DOMINATION 2. Play 3. Spirit!! 4. the non-fiction days 5. Moratorium 6. Alive‐or‐Dead 7. CROSS 8. Turn me on 9. Don't you tell ME 10. Daydreaming 11. One and only 12. Puzzle (acoustic ver.) 13. anemone (acoust	Crown Stones	2018-07-25
start over (type B)	start over	Single	https://bandmaidshop.com/products/start-over-blu-ray-postcard-cd-limited-edition-type-a-2	start over CD+DVD	CD+DVD	DVD	Live at ZEPP Tokyo on 2018.4.13 (26 songs) 1. DOMINATION 2. Play 3. Spirit!! 4. the non-fiction days 5. Moratorium 6. Alive‐or‐Dead 7. CROSS 8. Turn me on 9. Don't you tell ME 10. Daydreaming 11. One and only 12. Puzzle (acoustic ver.) 13. anemone (acoust	Crown Stones	2018-07-25
glory	glory	Single	https://bandmaidshop.com/products/band-maid-glory-cd-single	glory CD	CD			Crown Stones	2019-01-16
Bubble	Bubble	Single	https://bandmaidshop.com/products/band-maid-bubble-cd-single	Bubble CD	CD			Crown Stones	2019-01-16
BAND-MAIKO (1st press limited)	BAND-MAIKO	EP	https://bandmaidshop.com/products/band-maiko-cd-regular-edition	BAND-MAIKO CD+DVD	CD+DVD	DVD	01. 祇園町 (Gion-cho) MV 02. 祇園町 (Gion-cho) making video	Revolver records	2019-04-03
BAND-MAIKO	BAND-MAIKO	EP	https://bandmaidshop.com/products/band-maiko-cd-regular-edition	BAND-MAIKO	CD			Revolver records	2019-04-03
CONQUEROR (1st press limited B)	CONQUEROR	Album	https://bandmaidshop.com/products/band-maid-conqueror-cd-dvd-first-limited-edition-b	CONQUEROR CD+DVD	CD+DVD	DVD	01. DOMINATION (Instrumental Video) 02. DICE (Instrumental Video) 03. onset (Instrumental Video)	Revolver records	2019-12-11
CONQUEROR (1st press limited A)	CONQUEROR	Album	https://bandmaidshop.com/products/band-maid-conqueror	CONQUEROR CD+Blu-ray	CD+Blu-ray	Blu-ray	1. DOMINATION (Instrumental Video) 02. DICE (Instrumental Video) 03. onset (Instrumental Video)	Revolver records	2019-12-11
CONQUEROR	CONQUEROR	Album	https://bandmaidshop.com/products/band-maid-conqueror-cd-dvd-normal-edition	CONQUEROR CD	CD			Revolver records	2019-12-11
WORLD DOMINATION TOUR 【進化】at LINE CUBE SHIBUYA（渋谷公会堂）Blu-ray	WORLD DOMINATION TOUR at LINE CUBE SHIBUYA	Live Video	https://bandmaidshop.com/products/band-maid-live-world-domination-tour-shinka-at-line-cube-shibuya-shibuya-public-hall-blu-ray	BAND-MAID LIVE - WORLD DOMINATION TOUR [SHINKA] at LINE CUBE SHIBUYA (Shibuya Public Hall) - Blu-ray	Blu-ray	Blu-ray	BTS movie	Pony Canyon	2020-04-29
WORLD DOMINATION TOUR 【進化】at LINE CUBE SHIBUYA（渋谷公会堂）DVD	WORLD DOMINATION TOUR at LINE CUBE SHIBUYA	Live Video	https://bandmaidshop.com/products/band-maid-live-world-domination-tour-shinka-at-line-cube-shibuya-shibuya-public-hall-dvd	BAND-MAID LIVE - WORLD DOMINATION TOUR [SHINKA] at LINE CUBE SHIBUYA (Shibuya Public Hall) - DVD	DVD	DVD	BTS movie	Pony Canyon	2020-04-29
Different	Different	Single	https://bandmaidshop.com/products/band-maid-different-cd-single	Different CD	CD			Revolver records	2020-12-02
Unseen World	Unseen World	Album	https://bandmaidshop.com/products/band-maid-unseen-world-cd-normal-edition	Unseen World CD	CD+Blu-ray	CD		Pony Canyon	2021-01-20
Unseen World (complete limited edition)	Unseen World	Album	https://bandmaidshop.com/products/band-maid-unseen-world-cd-blu-ray-deluxe-limited-edition	Unseen World (2 CDs + Blu-ray + Studio Photo Book) [ONE-TIME-ONLY PRESSING]	CD+Blu-ray	Blu-ray	01. AFTER LIFE (Instrumental Video) 02. NO GOD (Instrumental Video) 03. GIOVANNI (Instrumental Video) 04. WITHOUT HOLDING BACK (Instrumental Video)	Pony Canyon	2021-01-20
Unseen World (1st press limited)	Unseen World	Album	https://www.cdjapan.co.jp/product/PCCA-4992	Unseen World [w/ DVD, Limited Edition]	CD+Blu-ray	DVD	01. AFTER LIFE (Instrumental Video) 02. NO GOD (Instrumental Video) 03. GIOVANNI (Instrumental Video) 04. WITHOUT HOLDING BACK (Instrumental Video)	Pony Canyon	2021-01-20
about Us	about Us	Single	https://bandmaid.tokyo/contents/415971	about Us Vinyl (12", 45 RPM, Single Sided)	Vinyl			Pony Canyon	2021-03-25
BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021) DVD	BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021)	Live Video	https://bandmaidshop.com/products/band-maid-live-online-okyu-ji-feb-11-2021-dvd-regular-edition	BAND-MAID LIVE - ONLINE OKYU-JI (Feb. 11, 2021) [DVD] REGULAR EDITION	DVD	DVD	OKYU-JI（LIVE）Footage Recorded Exclusively for Blu-ray/DVD] 29. Moratorium 30. the non-fiction days 31. glory 32. Play 33. Smile (Acoustic Ver.)	Pony Canyon	2021-05-26
BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021) Blu-ray	BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021)	Live Video	https://bandmaidshop.com/products/band-maid-online-okyu-ji-feb-11-2021-blu-ray-regular-edition	BAND-MAID LIVE - ONLINE OKYU-JI (Feb. 11, 2021) [Blu-ray] REGULAR EDITION	Blu-ray	Blu-ray	OKYU-JI（LIVE）Footage Recorded Exclusively for Blu-ray/DVD] 29. Moratorium 30. the non-fiction days 31. glory 32. Play 33. Smile (Acoustic Ver.)	Pony Canyon	2021-05-26
